,player_name,school,GP,Min_per,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA_x,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,porpag,adjoe,pfr,year,pid,ast/tov,pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,all_star,total_points,PPG,conference_B10,conference_B12,conference_BE,conference_Non_major,conference_P10,conference_P12,conference_SEC,Pos_F,Pos_G
232,Jordan McRae,Tennessee,36,80.4,115.3,28.6,50.7,56.01,2.6,10.2,17.8,14.4,164,208,0.7879999999999999,139,282,0.493,77,220,0.35000000000000003,3.3,1.4,41.4,4,78,5.15268,133.849,2.6,2014,16656,1.17104827,58.0,100.038,95.6809,3.7951699999999997,183.707,7.69066,5.83999,1.85067,9.258,32.3889,6.902,2.356,0,673,18.69,0,0,0,0,0,0,1,0,1
233,Tobias Harris,Tennessee,34,72.5,109.5,25.9,48.9,53.96,7.5,20.6,10.4,14.3,128,170,0.753,162,326,0.49700000000000005,23,76,0.303,3.4,1.4,42.3,1,80,3.86035,123.29799999999999,2.8,2011,16657,0.70967919,19.0,97.8243,91.867,3.5272,197.75900000000001,4.9453700000000005,2.8500799999999997,2.09528,6.281000000000001,29.2059,4.848,1.433,0,521,15.32,0,0,0,0,0,0,1,1,0
234,Anthony Brown,Stanford,37,87.7,114.1,21.2,52.8,57.3,3.8,18.8,15.2,15.7,116,146,0.795,97,229,0.424,79,179,0.441,0.6000000000000001,1.3,35.8,4,78,4.260269999999999,120.40899999999999,2.4,2015,16684,1.30556555,34.0,100.992,96.2203,3.7974,233.885,5.867030000000001,4.45289,1.41414,6.287000000000001,35.6757,5.119,1.168,0,547,14.78,0,0,0,0,0,1,0,0,1
235,Jamaal Franklin,San Diego St.,32,82.6,101.4,29.8,45.6,53.41,5.6,26.3,21.7,20.7,173,219,0.79,118,247,0.478,41,147,0.27899999999999997,2.3,3.0,55.6,3,77,3.94297,118.27600000000001,3.2,2013,16788,0.96330329,41.0,85.7859,82.2666,5.00574,256.866,8.3138,3.21658,5.09722,7.859,33.1875,3.75,4.109,0,532,16.62,0,0,0,1,0,0,0,0,1
236,Adreian Payne,Michigan St.,31,56.7,113.5,27.1,56.5,60.66,6.8,22.9,10.2,16.1,109,138,0.79,134,250,0.536,44,104,0.423,3.8,1.0,39.0,4,82,4.11945,130.155,3.7,2014,16825,0.6507897500000001,15.0,96.6971,91.73899999999999,3.68035,170.62900000000002,5.38434,3.72077,1.66357,7.4639999999999995,28.0645,5.797000000000001,1.6669999999999998,0,509,16.42,1,0,0,0,0,0,0,0,0
237,Meyers Leonard,Illinois,32,78.6,112.5,22.0,58.6,61.77,9.1,23.5,9.9,18.7,93,127,0.732,169,280,0.604,1,11,0.091,6.9,0.9,43.6,2,84,3.8097300000000005,119.265,3.7,2012,17125,0.63237647,11.0,94.6348,88.2181,4.16046,210.3,6.9846699999999995,2.0021,4.982559999999999,6.07,31.8125,3.3139999999999996,2.756,0,434,13.56,1,0,0,0,0,0,0,0,0
238,Joe Harris,Virginia,37,71.8,113.4,22.1,54.7,56.48,2.7,9.8,18.1,13.4,73,114,0.64,77,158,0.48700000000000004,72,180,0.4,0.9,2.2,33.7,4,78,3.44919,122.301,3.3,2014,17280,1.75001927,33.0,93.7017,89.0955,4.04406,172.192,8.495519999999999,5.78038,2.7151400000000003,8.139,28.8108,4.546,3.593,0,443,11.97,0,0,0,0,0,0,0,0,1
239,Andre Roberson,Colorado,31,77.3,99.8,20.4,51.5,52.4,10.6,27.1,9.4,21.2,54,98,0.551,113,217,0.521,19,58,0.32799999999999996,4.4,3.9,35.6,3,79,2.43566,105.24600000000001,3.0,2013,17361,0.59461271,26.0,83.7071,79.4846,5.29756,283.374,8.972430000000001,1.61281,7.35962,7.789,33.4194,2.741,5.048,0,337,10.87,0,0,0,0,0,1,0,1,0
240,Ray McCallum,Detroit,31,93.2,116.4,24.4,52.4,56.57,4.0,13.3,23.5,12.8,138,193,0.715,158,290,0.545,39,123,0.317,1.7000000000000002,3.0,46.7,3,73,5.39079,125.565,2.2,2013,17384,2.19042464,36.0,101.74799999999999,101.01299999999999,3.2208099999999997,222.896,6.39371,5.8141099999999994,0.5796060000000001,6.891,37.2903,6.053999999999999,0.8370000000000001,0,571,18.42,0,0,0,1,0,0,0,0,1
241,C.J. McCollum,Lehigh,12,31.0,115.7,35.0,58.0,62.75,4.0,14.5,25.1,14.7,62,73,0.8490000000000001,63,130,0.485,33,64,0.516,1.2,2.7,37.6,4,75,5.6917800000000005,136.816,2.3,2013,17390,1.09374883,10.0,97.4339,96.5057,3.16236,72.2165,7.2964199999999995,7.568039999999999,-0.271614,9.685,31.0,9.795,-0.11,0,287,23.92,0,0,0,1,0,0,0,0,1
